index,name,group1,group2,rank
1,Myriel,external,1,4
10,OldMan,external,1,13
11,Labarre,external,2,14
12,Valjean,executive,2,15
13,Marguerite,management,3,28
14,Mme.deR,executive,2,16
15,Isabeau,executive,2,17
16,Gervais,executive,2,18
17,Tholomyes,management,3,29
18,Listolier,management,3,30
19,Fameuil,management,3,31
2,Napoleon,external,1,5
20,Blacheville,management,3,32
21,Favourite,management,3,33
22,Dahlia,management,3,34
23,Zephine,management,3,35
24,Fantine,management,3,36
25,Mme.Thenardier,employees,4,38
26,Thenardier,employees,4,39
27,Cosette,employees,5,49
28,Javert,employees,4,40
29,Fauchelevent,external,0,1
3,Mlle.Baptistine,external,1,6
30,Bamatabois,executive,2,19
31,Perpetue,management,3,37
32,Simplice,executive,2,20
33,Scaufflaire,executive,2,21
34,Woman1,management,2,22
35,Judge,management,2,23
36,Champmathieu,management,2,24
37,Brevet,management,2,25
38,Chenildieu,management,2,26
39,Cochepaille,management,2,27
4,Mme.Magloire,external,1,7
40,Pontmercy,employees,4,41
41,Boulatruelle,employees,6,59
42,Eponine,employees,4,42
43,Anzelma,employees,4,43
44,Woman2,employees,5,50
45,MotherInnocent,external,0,2
46,Gribier,external,0,3
47,Jondrette,employees,7,60
48,Mme.Burgon,employees,7,61
49,Gavroche,employees,8,62
5,CountessdeLo,external,1,8
50,Gillenormand,employees,5,51
51,Magnon,employees,5,52
52,Mlle.Gillenormand,employees,5,53
53,Mme.Pontmercy,employees,5,54
54,Mlle.Vaubois,employees,5,55
55,Lt.Gillenormand,employees,5,56
56,Marius,employees,8,63
57,BaronessT,employees,5,57
58,Mabeuf,employees,8,64
59,Enjolras,employees,8,65
6,Geborand,external,1,9
60,Combeferre,employees,8,66
61,Prouvaire,employees,8,67
62,Feuilly,employees,8,68
63,Courfeyrac,employees,8,69
64,Bahorel,employees,8,70
65,Bossuet,employees,8,71
66,Joly,employees,8,72
67,Grantaire,employees,8,73
68,MotherPlutarch,employees,9,75
69,Gueulemer,employees,4,44
7,Champtercier,external,1,10
70,Babet,employees,4,45
71,Claquesous,employees,4,46
72,Montparnasse,employees,4,47
73,Toussaint,employees,5,58
74,Child1,employees,10,76
75,Child2,employees,10,77
76,Brujon,employees,4,48
77,Mme.Hucheloup,employees,8,74
8,Cravatte,external,1,11
9,Count,external,1,12
